cafe_id,디저트,다양한 메뉴,특별한 메뉴,쾌적한 매장,야외 배경,주차,대화,집중,트렌디,독특,"선물, 포장",액티비티
187,2.6603773584905657,1.0,1.6289308176100628,1.2578616352201257,1.0,1.0,1.10062893081761,1.0,2.182389937106918,1.7547169811320753,1.2389937106918238,1.0
188,3.0952380952380953,1.0,1.9523809523809523,1.0,1.0,1.0,1.5714285714285714,1.0,1.380952380952381,1.0,1.0,1.0
189,3.7272727272727275,1.0,2.2727272727272725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
191,2.655172413793103,1.0,1.0,1.0,1.0,1.0,2.5172413793103448,1.2758620689655173,1.4137931034482758,1.4137931034482758,1.0,1.0
192,2.1044776119402986,1.0,1.2686567164179103,1.0,1.3582089552238805,1.0597014925373134,1.537313432835821,1.1791044776119404,2.4925373134328357,1.0,1.0,1.0
193,1.3076923076923077,1.0,1.6153846153846154,1.0,1.153846153846154,1.6153846153846154,2.0769230769230766,1.4615384615384617,1.7692307692307692,1.0,1.0,1.0
196,3.5,1.0,1.6666666666666665,1.0,1.0,1.0,1.0,1.0,1.8333333333333335,1.0,1.0,1.0
197,3.25,1.0,2.25,1.0,1.0,1.25,1.25,1.0,1.0,1.0,1.0,1.0
198,2.75,1.0,1.4375,1.0,1.0,1.0,1.5,1.125,2.1875,1.0,1.0,1.0
199,3.1052631578947367,1.0,1.1403508771929824,1.0,1.0,1.0,1.0,1.0,1.0,1.2105263157894737,5.0,1.0
200,2.4375,1.0,2.0625,1.0,1.0625,1.125,1.75,1.125,1.4375,1.0,1.0,1.0
201,2.25,1.0,1.875,1.0,1.25,1.125,1.375,1.375,1.75,1.0,1.0,1.0
203,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204,1.7924528301886793,1.0,1.5660377358490565,1.0,1.0,1.0,1.3396226415094339,1.0754716981132075,3.2264150943396226,1.0,1.0,1.0
205,1.4000000000000001,1.0,1.0,1.0,1.5333333333333334,1.0,1.5333333333333334,1.2666666666666666,3.2666666666666666,1.0,1.0,1.0
